"dataset","response","weight.method","n.ipd1","n.ipd2","ess.ipd1","ess.ipd2","var.method","wt.y1","wt.y2","wt.diff","se1","se2","se.diff","ci.lower","ci.upper","conf.level","ess1","ess2","status"
"high_overlap     (shifts 0.1/0/0/0.1/0)","Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,297.779455939632,297.773124610976,"paper",0.0402617609759261,-0.00712711354224523,0.0473888745181713,0.0576131180722976,0.0616398014238336,0.0843726051131654,-0.117978392785453,0.212756141821795,0.95,297.779455939632,297.773124610976,"OK"
"high_overlap     (shifts 0.1/0/0/0.1/0)","Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,297.779455939632,297.773124610976,"weighted_ess",0.0402617609759261,-0.00712711354224523,0.0473888745181713,0.0579344530584953,0.061958613362669,0.084824941031584,-0.118864954894467,0.21364270393081,0.95,297.779455939632,297.773124610976,"OK"
"high_overlap     (shifts 0.1/0/0/0.1/0)","Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,297.779455939632,297.773124610976,"sq_residual",0.0402617609759261,-0.00712711354224523,0.0473888745181713,0.0582580350941138,0.0622650521659398,0.0852697799589878,-0.1197368231711,0.214514572207443,0.95,297.779455939632,297.773124610976,"OK"
"high_overlap     (shifts 0.1/0/0/0.1/0)","Y.bin (binary)","exmWt.2ipd (symmetric QP)",300,300,297.779455939632,297.773124610976,"paper",0.487298783357124,0.509668110513005,-0.0223693271558812,0.0289517569661132,0.0289520647543235,0.0409441849957161,-0.10261845512383,0.0578798008120677,0.95,297.779455939632,297.773124610976,"OK"
"high_overlap     (shifts 0.1/0/0/0.1/0)","Y.bin (binary)","exmWt.2ipd (symmetric QP)",300,300,297.779455939632,297.773124610976,"weighted_ess",0.487298783357124,0.509668110513005,-0.0223693271558812,0.0289655961648415,0.0289698369599647,0.0409665377432804,-0.102662265704012,0.0579236113922491,0.95,297.779455939632,297.773124610976,"OK"
"high_overlap     (shifts 0.1/0/0/0.1/0)","Y.bin (binary)","exmWt.2ipd (symmetric QP)",300,300,297.779455939632,297.773124610976,"sq_residual",0.487298783357124,0.509668110513005,-0.0223693271558812,0.0289766092867781,0.0289817625350269,0.0409827579037244,-0.102694056634305,0.0579554023225428,0.95,297.779455939632,297.773124610976,"OK"
"moderate_overlap (shifts 0.8/0/0/1.0/0)","Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,225.919278847428,240.704526288701,"paper",0.176617090681409,0.205555138553907,-0.0289380478724983,0.0736084146601091,0.0677265934040117,0.100025447576539,-0.224984322660013,0.167108226915017,0.95,225.919278847428,240.704526288701,"OK"
"moderate_overlap (shifts 0.8/0/0/1.0/0)","Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,225.919278847428,240.704526288701,"weighted_ess",0.176617090681409,0.205555138553907,-0.0289380478724983,0.0692227599202364,0.064781156337528,0.0948071131688014,-0.214756575161562,0.156880479416566,0.95,225.919278847428,240.704526288701,"OK"
"moderate_overlap (shifts 0.8/0/0/1.0/0)","Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,225.919278847428,240.704526288701,"sq_residual",0.176617090681409,0.205555138553907,-0.0289380478724983,0.0689964589805727,0.0629959570368027,0.0934291279785943,-0.212055773817527,0.15417967807253,0.95,225.919278847428,240.704526288701,"OK"
"moderate_overlap (shifts 0.8/0/0/1.0/0)","Y.bin (binary)","exmWt.2ipd (symmetric QP)",300,300,225.919278847428,240.704526288701,"paper",0.518195554048074,0.490912131466245,0.0272834225818288,0.0332292044384267,0.0321924820144902,0.0462659261861689,-0.0633961264544509,0.117962971618108,0.95,225.919278847428,240.704526288701,"OK"
